author,published_date,updated_date,like_count,comment,vader_sentiment
@farzyness,2024-01-18 20:13:33+00:00,2024-01-18 20:13:33+00:00,636.0,"Here’s the original: <a href=""https://x.com/bowtiedmara/status/1747648419613569457?s=46"">https://x.com/bowtiedmara/status/1747648419613569457?s=46</a><br><br>Here’s the AI edited version using HeyGen: <a href=""https://x.com/aphysicist/status/1747868626948907325?s=46"">https://x.com/aphysicist/status/1747868626948907325?s=46</a>",positive
@kristiechesebro8363,2024-02-01 01:14:51+00:00,2024-02-01 01:14:51+00:00,0.0,What an eye opener.....,neutral
@courtneykading873,2024-01-31 23:52:12+00:00,2024-01-31 23:52:12+00:00,0.0,This is amazing. <br><br>Do not yield to the advance of the state. The state is not the solution. The state is the problem itself.,neutral
@5641616341485,2024-01-31 23:21:37+00:00,2024-01-31 23:21:37+00:00,0.0,.,neutral
@ManyHeavens42,2024-01-31 22:28:15+00:00,2024-01-31 22:34:54+00:00,1.0,"Don&#39;t let somebody else pick your friends or your Enemies.✝️ Be Smart, wrong God Only offers Slavery , Wake up Gods Doing it.",negative
@appadmin2544,2024-01-31 22:19:32+00:00,2024-01-31 22:19:32+00:00,0.0,"He is very mistaken. It isn&#39;t &quot;collectivism&quot; being pushed by the unelected, self-proclaimed &quot;rulers&quot; of the globe, it is NEO-FEUDALISM, with wannabe elites on top enjoying special treatment and the majority of the world&#39;s population living in poverty.",positive
@bixichick1,2024-01-31 22:09:47+00:00,2024-01-31 22:09:47+00:00,0.0,“Thank you and long live freedom damnit” ❤😂,positive
@bixichick1,2024-01-31 22:03:26+00:00,2024-01-31 22:03:26+00:00,0.0,Bravo !!!,neutral
@user-kl8gd7vg5d,2024-01-31 21:41:44+00:00,2024-01-31 21:41:44+00:00,0.0,"Poor man, has no idea...",negative
@ClosetoChristnow,2024-01-31 21:03:07+00:00,2024-01-31 21:03:07+00:00,1.0,THANK GOD FOR THIS MAN!!! A TRUE LEADER!!! GOD PROTECT HIM SND KEEP HIM!!,positive
@greatgambino,2024-01-31 17:46:04+00:00,2024-01-31 17:46:04+00:00,0.0,"&quot;free markets&quot; with large mega corporations who manipulate government and media to extend their control is exactly opposite of real free market and it is what the world is being controlled by now!  Blaming socialism for the evils that lie in the third world is preposterous.  It is the exploitation of their markets and natural resources by international corporations.  And anyone who really believes this drivel that is on this video, has to look at Nazi Germany.  Yes when you meld corporations with government, you get facism and its a very efficient system to deliver comfortable lives for those who cooperate with the system.  But goodbye freedom and say hi to a state of fear.....",positive
@greatgambino,2024-01-31 17:33:37+00:00,2024-01-31 17:33:37+00:00,0.0,"duh, &quot;free market&quot; capitalism existed all the way back to year 0!  It was communism that developed almost simultaneously with the industrial revolution.  Marx and Engels time was in the heart of the industrial revolution!!!!!!  Free markets existed from the earliest times in human history.  Get over it and face it....",positive
@dunner079,2024-01-31 16:57:15+00:00,2024-01-31 16:57:15+00:00,0.0,Hes a shill for the banks,neutral
@mr.voidout4739,2024-01-31 16:46:55+00:00,2024-01-31 16:46:55+00:00,1.0,Everything he&#39;s talking about is outlined in a doctrine of the WEF that I&#39;ve been censored for simply mentioning the name of. <br>slocotorp otnoroT ehT.,negative
